row_index,source,year,dat_score,between_unit_posaware,uniqueness_human_agnostic,in_reference_pool
398,olson_pnas2021,2022,84.758270,83.082700,,1
399,olson_pnas2021,2022,77.191147,78.654954,,1
400,olson_pnas2021,2022,70.952896,79.327572,,1
401,olson_pnas2021,2022,82.458778,82.331920,,1
402,olson_pnas2021,2022,76.380142,78.025790,,1
403,olson_pnas2021,2022,66.113770,75.722521,76.167669,0
404,olson_pnas2021,2022,72.150627,74.293159,,1
405,olson_pnas2021,2022,78.930611,81.116566,,1
406,olson_pnas2021,2022,69.846420,76.321550,76.700363,0
407,olson_pnas2021,2022,74.346527,78.053802,77.678729,0
408,olson_pnas2021,2022,68.316994,76.071275,75.944247,0
409,olson_pnas2021,2022,77.879250,78.161614,78.558027,0
410,olson_pnas2021,2022,72.291672,77.392320,77.817967,0
411,olson_pnas2021,2022,80.600533,79.093790,,1
412,olson_pnas2021,2022,81.805626,80.586344,80.491355,0
413,olson_pnas2021,2022,72.926422,76.672432,76.564515,0
414,olson_pnas2021,2022,78.768295,79.290809,,1
415,olson_pnas2021,2022,76.790550,78.290782,77.713946,0
416,olson_pnas2021,2022,74.713417,76.227976,,1
417,olson_pnas2021,2022,79.574547,78.931644,79.250780,0
418,olson_pnas2021,2022,74.964783,78.898305,,1
419,olson_pnas2021,2022,72.319305,77.169496,77.359466,0
420,olson_pnas2021,2022,85.523903,84.355938,84.706330,0
421,olson_pnas2021,2022,72.556679,77.897529,,1
422,olson_pnas2021,2022,60.497139,80.450002,,1
423,olson_pnas2021,2022,58.897163,74.508050,75.153105,0
424,olson_pnas2021,2022,84.389877,80.203970,,1
425,olson_pnas2021,2022,78.978523,78.932287,78.931749,0
426,olson_pnas2021,2022,83.806335,80.540813,80.996168,0
427,olson_pnas2021,2022,77.105560,79.615941,79.322293,0
428,olson_pnas2021,2022,76.481163,78.711037,78.393595,0
429,olson_pnas2021,2022,76.540901,79.046176,,1
430,olson_pnas2021,2022,66.160324,79.933445,79.330529,0
431,olson_pnas2021,2022,81.168297,79.455017,,1
432,olson_pnas2021,2022,78.107216,78.705139,,1
433,olson_pnas2021,2022,79.293617,78.410386,78.915708,0
434,olson_pnas2021,2022,59.335667,75.130791,76.424038,0
435,olson_pnas2021,2022,87.789902,88.522207,88.489149,0
436,olson_pnas2021,2022,81.281662,81.975407,,1
437,olson_pnas2021,2022,74.846474,80.450681,80.762586,0
438,olson_pnas2021,2022,78.629913,79.969697,,1
439,olson_pnas2021,2022,77.593147,85.587031,,1
440,olson_pnas2021,2022,66.717407,74.203979,,1
441,olson_pnas2021,2022,83.185989,81.557028,,1
442,olson_pnas2021,2022,81.610558,80.910215,,1
443,olson_pnas2021,2022,67.861351,76.023905,,1
444,olson_pnas2021,2022,73.718140,77.791669,,1
445,olson_pnas2021,2022,76.934959,77.123693,,1
446,olson_pnas2021,2022,73.232307,78.111153,,1
447,olson_pnas2021,2022,70.381058,77.270708,77.280150,0
448,olson_pnas2021,2022,67.467834,77.249768,76.937242,0
449,olson_pnas2021,2022,87.360710,84.618023,,1
450,olson_pnas2021,2022,90.463432,81.441370,,1
451,olson_pnas2021,2022,71.047783,77.682828,77.623758,0
452,olson_pnas2021,2022,75.745522,77.858403,78.593191,0
